Site,PlantSpecies,TotalMsq,Total.Site.Msq,Freq
Leon,Thymus,160,14700.5,0.010883984
Christ,Trachelospermum jasminoides,9600,52240,0.183767228
Bank,Trifolium pratense,144,10042,0.014339773
OPMead,Trifolium repens,874,9974,0.087627832
BG,Umbellifera,54,36142,0.001494107
MEA,Valeriana officinalis,10,12228,0.000817795
OPMead,Valeriana officinalis,294,9974,0.029476639
Beech,veronica spicata,80,13677,0.005849236
BG,veronica spicata,9,36142,0.000249018
OPMead,veronica spicata,956,9974,0.095849208
BG,Viburnum lantana,40,36142,0.001106746
Leon,Viola tricolor,3600,14700.5,0.24488963
